('1', '11')
('48', '291')
('48', '293')
('48', '297')
('48', '299')
('290', '292')
('36', '38')
('36', '39')
('36', '310')
('38', '39')
('38', '105')
('38', '303')
('38', '310')
('38', '312')
('39', '105')
('39', '303')
('39', '308')
('39', '309')
('39', '310')
('39', '312')
('39', '319')
('308', '309')
('308', '319')
('311', '313')
('39', '48')
('39', '152')
('39', '161')
('39', '328')
('48', '152')
('48', '161')
('48', '328')
('39', '330')
('48', '331')
('48', '332')
('48', '334')
('48', '336')
('48', '337')
('48', '338')
('331', '337')
('18', '38')
('18', '48')
('37', '38')
('37', '41')
('37', '48')
('37', '147')
('37', '341')
('38', '41')
('38', '48')
('38', '147')
('38', '340')
('38', '341')
('38', '345')
('38', '346')
('41', '48')
('41', '147')
('41', '340')
('41', '341')
('41', '344')
('41', '345')
('41', '346')
('41', '347')
('48', '147')
('48', '340')
('48', '344')
('48', '345')
('48', '347')
('340', '346')
('32', '39')
('32', '41')
('32', '48')
('32', '348')
('32', '349')
('39', '41')
('39', '48')
('39', '348')
('39', '349')
('39', '350')
('41', '48')
('41', '348')
('41', '349')
('41', '350')
('48', '348')
('48', '349')
('48', '350')
('48', '352')
('48', '357')
('48', '359')
('48', '361')
('48', '363')
('48', '364')
('38', '39')
('38', '41')
('38', '48')
('38', '60')
('38', '370')
('38', '371')
('39', '41')
('39', '48')
('39', '60')
('39', '367')
('39', '368')
('39', '369')
('39', '370')
('39', '371')
('39', '373')
('39', '374')
('41', '48')
('41', '60')
('41', '367')
('41', '368')
('41', '370')
('41', '371')
('41', '374')
('48', '60')
('48', '367')
('48', '368')
('48', '369')
('48', '370')
('48', '371')
('48', '373')
('48', '374')
('60', '371')
('367', '368')
('1', '11')
('1', '39')
('1', '41')
('1', '48')
('11', '39')
('11', '41')
('11', '48')
('11', '89')
('11', '379')
('39', '41')
('39', '48')
('39', '65')
('39', '89')
('39', '379')
('39', '381')
('39', '382')
('39', '384')
('41', '48')
('41', '65')
('41', '89')
('41', '379')
('41', '381')
('41', '384')
('48', '65')
('48', '89')
('48', '379')
('48', '381')
('48', '384')
('65', '89')
('65', '379')
('89', '379')
('89', '384')
('380', '383')
('38', '41')
('38', '390')
('41', '390')
('38', '55')
('32', '43')
('32', '152')
('32', '258')
('32', '340')
('32', '396')
('151', '152')
('152', '396')
('258', '340')
('340', '396')
('39', '406')
('48', '89')
('48', '101')
('48', '179')
('48', '186')
('48', '258')
('48', '340')
('48', '408')
('48', '413')
('48', '414')
('48', '416')
('48', '418')
('48', '420')
('48', '421')
('48', '422')
('89', '101')
('89', '186')
('89', '258')
('89', '408')
('101', '179')
('101', '413')
('101', '418')
('179', '186')
('179', '413')
('186', '413')
('258', '340')
('408', '413')
('408', '420')
('39', '45')
('39', '48')
('39', '248')
('39', '423')
('39', '424')
('39', '425')
('39', '426')
('45', '48')
('48', '248')
('48', '423')
('48', '424')
('48', '425')
('48', '426')
('39', '432')
('39', '433')
('39', '434')
('39', '48')
('39', '65')
('39', '435')
('39', '436')
('39', '438')
('48', '65')
('48', '435')
('48', '436')
('48', '438')
('65', '435')
('15', '23')
('15', '38')
('15', '48')
('15', '441')
('23', '48')
('36', '38')
('36', '48')
('36', '441')
('36', '450')
('38', '48')
('38', '123')
('38', '390')
('38', '441')
('38', '445')
('38', '449')
('38', '450')
('48', '123')
('48', '229')
('48', '291')
('48', '331')
('48', '337')
('48', '390')
('48', '439')
('48', '441')
('48', '445')
('48', '447')
('48', '449')
('331', '337')
('337', '449')
('390', '441')
('48', '451')
('48', '454')
('48', '458')
('37', '38')
('37', '48')
('37', '147')
('38', '48')
('38', '147')
('38', '463')
('38', '466')
('48', '147')
('48', '174')
('48', '463')
('48', '464')
('48', '470')
('39', '48')
('39', '475')
('48', '475')
('39', '41')
('39', '161')
('39', '483')
('39', '485')
('32', '39')
('32', '41')
('32', '48')
('32', '152')
('32', '237')
('32', '396')
('39', '41')
('39', '48')
('39', '152')
('39', '237')
('39', '396')
('41', '48')
('41', '152')
('41', '237')
('41', '396')
('48', '152')
('48', '237')
('48', '396')
('152', '396')
('38', '39')
('38', '41')
('38', '105')
('38', '110')
('39', '41')
('39', '105')
('39', '110')
('41', '105')
('41', '110')
('11', '39')
('11', '48')
('39', '48')
('39', '255')
('39', '488')
('39', '489')
('39', '490')
('39', '491')
('39', '492')
('39', '493')
('39', '494')
('39', '495')
('39', '498')
('39', '499')
('48', '255')
('48', '488')
('48', '489')
('48', '490')
('48', '491')
('48', '492')
('48', '493')
('48', '494')
('48', '495')
('48', '498')
('255', '491')
('255', '493')
('255', '495')
('490', '492')
('41', '110')
('41', '501')
('110', '501')
('32', '38')
('32', '39')
('32', '48')
('32', '170')
('32', '178')
('32', '503')
('38', '39')
('38', '48')
('38', '170')
('38', '178')
('38', '502')
('39', '48')
('39', '170')
('39', '178')
('39', '502')
('39', '503')
('48', '170')
('48', '178')
('48', '502')
('170', '178')
('170', '502')
('38', '41')
('38', '504')
('41', '504')
('38', '39')
('38', '41')
('38', '48')
('38', '170')
('38', '225')
('38', '270')
('39', '41')
('39', '48')
('39', '170')
('39', '189')
('39', '225')
('39', '270')
('41', '48')
('41', '170')
('41', '225')
('41', '270')
('48', '170')
('48', '189')
('48', '225')
('48', '270')
('170', '225')
('39', '48')
('38', '39')
('38', '281')
('39', '281')
('310', '521')
('310', '522')
('521', '522')
('48', '310')
('48', '416')
('48', '521')
('48', '522')
('48', '525')
('48', '526')
('48', '529')
('310', '416')
('310', '521')
('310', '522')
('521', '522')
('522', '525')
('38', '39')
('38', '110')
('39', '110')
('18', '38')
('18', '48')
('38', '47')
('38', '48')
('38', '89')
('38', '338')
('38', '365')
('38', '533')
('38', '535')
('38', '543')
('38', '544')
('47', '48')
('48', '89')
('48', '258')
('48', '293')
('48', '338')
('48', '365')
('48', '533')
('48', '535')
('48', '536')
('48', '542')
('48', '543')
('48', '544')
('89', '258')
('89', '365')
('89', '533')
('89', '535')
('89', '543')
('89', '544')
('258', '338')
('258', '365')
('338', '365')
('338', '533')
('39', '48')
('39', '106')
('39', '107')
('39', '264')
('39', '308')
('39', '384')
('39', '498')
('39', '547')
('39', '548')
('39', '549')
('48', '107')
('48', '264')
('48', '384')
('48', '498')
('48', '546')
('48', '547')
('48', '548')
('48', '549')
('106', '107')
('107', '548')
('107', '549')
('548', '549')
('39', '48')
('39', '312')
('39', '550')
('39', '552')
('39', '553')
('39', '554')
('39', '555')
('39', '558')
('48', '312')
('48', '550')
('48', '552')
('48', '553')
('48', '558')
('312', '553')
('32', '39')
('32', '41')
('32', '48')
('32', '89')
('32', '491')
('32', '570')
('39', '41')
('39', '48')
('39', '89')
('39', '255')
('39', '357')
('39', '367')
('39', '368')
('39', '408')
('39', '491')
('39', '552')
('39', '560')
('39', '561')
('39', '564')
('39', '565')
('39', '570')
('41', '48')
('41', '89')
('41', '255')
('41', '357')
('41', '367')
('41', '368')
('41', '491')
('41', '561')
('41', '564')
('41', '565')
('41', '570')
('48', '89')
('48', '255')
('48', '357')
('48', '367')
('48', '368')
('48', '408')
('48', '491')
('48', '552')
('48', '560')
('48', '561')
('48', '564')
('48', '565')
('48', '570')
('89', '255')
('89', '357')
('89', '408')
('255', '491')
('255', '570')
('367', '368')
('38', '170')
('38', '201')
('38', '571')
('39', '41')
('39', '48')
('39', '572')
('39', '574')
('41', '48')
('41', '572')
('48', '572')
('48', '574')
('38', '39')
('38', '161')
('38', '281')
('39', '161')
('39', '281')
('36', '38')
('36', '48')
('36', '589')
('38', '48')
('38', '78')
('38', '155')
('38', '586')
('38', '587')
('38', '589')
('38', '591')
('48', '78')
('48', '155')
('48', '576')
('48', '577')
('48', '581')
('48', '585')
('48', '586')
('48', '587')
('48', '589')
('48', '591')
('78', '586')
('155', '589')
('577', '589')
('39', '48')
('39', '592')
('39', '593')
('39', '597')
('39', '598')
('39', '599')
('48', '592')
('48', '593')
('48', '598')
('48', '599')
('39', '178')
('39', '602')
('38', '39')
('38', '170')
('38', '604')
('39', '170')
('39', '207')
('39', '604')
('39', '606')
('170', '604')
('290', '292')
('548', '623')
('612', '615')
('39', '48')
('39', '627')
('39', '41')
('39', '48')
('39', '272')
('39', '475')
('41', '48')
('41', '272')
('41', '475')
('48', '134')
('48', '272')
('48', '475')
('48', '636')
('475', '636')
('39', '48')
('38', '39')
('38', '41')
('38', '48')
('38', '89')
('38', '110')
('38', '639')
('39', '41')
('39', '48')
('39', '89')
('39', '110')
('39', '637')
('39', '639')
('41', '48')
('41', '89')
('41', '110')
('41', '639')
('48', '89')
('48', '110')
('48', '637')
('48', '639')
('89', '110')
('38', '48')
('38', '170')
('38', '242')
('38', '255')
('38', '604')
('38', '640')
('38', '643')
('38', '645')
('48', '170')
('48', '242')
('48', '255')
('48', '389')
('48', '604')
('48', '640')
('48', '641')
('48', '643')
('170', '604')
('170', '643')
('242', '255')
('255', '604')
('255', '640')
('36', '38')
('36', '39')
('38', '39')
('38', '271')
('39', '271')
('39', '89')
('39', '186')
('39', '543')
('39', '648')
('39', '649')
('39', '651')
('39', '653')
('39', '654')
('89', '186')
('89', '543')
('41', '511')
('39', '48')
('39', '48')
('39', '201')
('39', '661')
('39', '664')
('39', '665')
('39', '666')
('39', '669')
('39', '671')
('39', '673')
('39', '674')
('39', '675')
('48', '201')
('48', '661')
('48', '662')
('48', '664')
('48', '665')
('48', '666')
('48', '669')
('48', '673')
('48', '674')
('48', '675')
('201', '664')
('661', '674')
('664', '673')
('664', '674')
('39', '41')
('39', '676')
('39', '677')
('39', '678')
('41', '676')
('41', '677')
('39', '72')
('39', '365')
('39', '681')
('23', '39')
('23', '48')
('23', '682')
('39', '41')
('39', '48')
('39', '260')
('39', '357')
('39', '682')
('39', '685')
('39', '689')
('39', '690')
('39', '693')
('41', '48')
('41', '260')
('41', '357')
('41', '685')
('41', '689')
('41', '693')
('48', '260')
('48', '357')
('48', '470')
('48', '689')
('48', '693')
('683', '684')
('683', '692')
('684', '692')
('37', '38')
('37', '39')
('37', '48')
('38', '39')
('38', '48')
('38', '694')
('39', '48')
('39', '694')
('48', '694')
('32', '39')
('32', '533')
('32', '696')
('32', '699')
('39', '346')
('39', '533')
('39', '695')
('39', '696')
('39', '697')
('39', '702')
('39', '703')
('39', '704')
('696', '697')
('696', '699')
('39', '597')
('39', '706')
('39', '711')
('39', '155')
('39', '338')
('39', '713')
('39', '714')
('37', '38')
('37', '39')
('37', '41')
('37', '48')
('37', '170')
('38', '39')
('38', '41')
('38', '48')
('38', '170')
('39', '41')
('39', '48')
('39', '170')
('39', '433')
('39', '715')
('41', '48')
('41', '170')
('41', '433')
('41', '715')
('41', '716')
('48', '170')
('48', '715')
('433', '717')
('39', '48')
('39', '150')
('39', '720')
('48', '150')
('48', '160')
('19', '39')
('19', '41')
('19', '48')
('36', '38')
('36', '39')
('36', '41')
('36', '48')
('36', '248')
('36', '721')
('36', '740')
('38', '39')
('38', '41')
('38', '48')
('38', '248')
('38', '543')
('38', '721')
('38', '723')
('38', '730')
('38', '739')
('38', '740')
('39', '41')
('39', '48')
('39', '248')
('39', '543')
('39', '721')
('39', '723')
('39', '727')
('39', '729')
('39', '730')
('39', '731')
('39', '734')
('39', '739')
('39', '740')
('41', '48')
('41', '248')
('41', '543')
('41', '721')
('41', '723')
('41', '727')
('41', '739')
('41', '740')
('48', '248')
('48', '543')
('48', '721')
('48', '723')
('48', '727')
('48', '729')
('48', '730')
('48', '734')
('48', '739')
('48', '740')
('543', '739')
('729', '730')
('729', '731')
('730', '731')
('41', '48')
('41', '741')
('41', '743')
('48', '741')
('48', '742')
('48', '743')
('741', '743')
('742', '743')
('9', '39')
('9', '41')
('39', '41')
('715', '755')
('750', '753')
('39', '48')
('39', '68')
('39', '649')
('39', '757')
('39', '759')
('39', '761')
('39', '763')
('48', '68')
('48', '649')
('48', '757')
('48', '759')
('48', '761')
('48', '763')
('39', '41')
('38', '286')
('38', '359')
('38', '110')
('19', '39')
('39', '284')
('39', '420')
('39', '772')
('39', '48')
('39', '773')
('39', '774')
('48', '773')
('48', '774')
('773', '774')
('37', '38')
('38', '110')
('38', '334')
('38', '778')
('11', '39')
('11', '41')
('11', '48')
('11', '789')
('39', '41')
('39', '48')
('39', '67')
('39', '102')
('39', '225')
('39', '228')
('39', '278')
('39', '564')
('39', '783')
('39', '785')
('39', '789')
('41', '48')
('41', '102')
('41', '225')
('41', '228')
('41', '564')
('41', '783')
('41', '789')
('48', '67')
('48', '225')
('48', '228')
('48', '278')
('48', '564')
('48', '781')
('48', '783')
('48', '785')
('48', '789')
('67', '789')
('225', '783')
('38', '39')
('38', '41')
('38', '790')
('39', '41')
('39', '790')
('41', '790')
('38', '39')
('38', '48')
('38', '286')
('39', '48')
('39', '286')
('48', '286')
('38', '39')
('38', '41')
('38', '47')
('38', '48')
('38', '150')
('38', '312')
('38', '441')
('38', '561')
('38', '793')
('38', '794')
('38', '796')
('38', '797')
('38', '800')
('38', '803')
('38', '805')
('39', '41')
('39', '47')
('39', '48')
('39', '61')
('39', '150')
('39', '312')
('39', '441')
('39', '561')
('39', '622')
('39', '649')
('39', '793')
('39', '794')
('39', '795')
('39', '796')
('39', '797')
('39', '798')
('39', '800')
('39', '801')
('39', '805')
('41', '47')
('41', '48')
('41', '61')
('41', '150')
('41', '312')
('41', '441')
('41', '561')
('41', '622')
('41', '793')
('41', '794')
('41', '796')
('41', '797')
('41', '800')
('41', '803')
('41', '805')
('47', '48')
('47', '441')
('48', '61')
('48', '150')
('48', '312')
('48', '441')
('48', '561')
('48', '622')
('48', '649')
('48', '793')
('48', '794')
('48', '795')
('48', '796')
('48', '797')
('48', '798')
('48', '800')
('48', '801')
('48', '803')
('48', '805')
('312', '793')
('312', '795')
('312', '796')
('312', '797')
('441', '561')
('441', '796')
('441', '797')
('441', '801')
('441', '805')
('561', '796')
('561', '797')
('793', '797')
('795', '796')
('796', '797')
('48', '806')
('38', '41')
('38', '170')
('38', '420')
('41', '170')
('41', '420')
('170', '420')
('38', '286')
('39', '41')
('39', '48')
('39', '807')
('39', '808')
('39', '809')
('41', '48')
('41', '808')
('41', '809')
('48', '807')
('48', '809')
('32', '41')
('41', '420')
('39', '48')
('39', '89')
('39', '812')
('48', '89')
('48', '812')
('0', '39')
('0', '48')
('39', '48')
('39', '65')
('39', '181')
('39', '730')
('39', '814')
('48', '65')
('48', '181')
('48', '730')
('48', '813')
('48', '814')
('48', '817')
('65', '730')
('22', '39')
('32', '39')
('32', '819')
('39', '819')
('39', '41')
('39', '806')
('39', '820')
('39', '821')
('41', '821')
('39', '48')
('39', '179')
('39', '490')
('39', '570')
('39', '572')
('39', '649')
('39', '723')
('39', '824')
('39', '828')
('39', '831')
('39', '833')
('39', '834')
('48', '179')
('48', '490')
('48', '570')
('48', '572')
('48', '649')
('48', '723')
('48', '824')
('48', '825')
('48', '828')
('48', '830')
('48', '831')
('48', '833')
('48', '834')
('179', '570')
('179', '824')
('179', '830')
('179', '831')
('570', '830')
('570', '831')
('649', '825')
('830', '831')
('36', '38')
('36', '740')
('38', '492')
('38', '740')
('38', '835')
('38', '840')
('38', '842')
('48', '798')
('48', '845')
('9', '39')
('9', '48')
('9', '704')
('39', '48')
('39', '704')
('39', '767')
('39', '809')
('39', '849')
('48', '767')
('48', '809')
('9', '38')
('9', '39')
('9', '170')
('38', '39')
('38', '170')
('38', '714')
('38', '851')
('39', '170')
('39', '330')
('39', '714')
('39', '851')
('170', '714')
('39', '41')
('39', '48')
('39', '854')
('41', '48')
('41', '854')
('237', '855')
('39', '45')
('39', '48')
('39', '522')
('39', '535')
('39', '681')
('39', '857')
('39', '859')
('39', '860')
('45', '48')
('48', '522')
('48', '535')
('48', '681')
('48', '857')
('48', '859')
('39', '48')
('48', '861')
('48', '862')
('39', '48')
('39', '359')
('48', '359')
('38', '39')
('38', '48')
('38', '110')
('38', '161')
('38', '864')
('38', '866')
('39', '48')
('39', '110')
('39', '161')
('39', '864')
('39', '865')
('39', '866')
('48', '110')
('48', '161')
('48', '864')
('48', '865')
('48', '866')
('441', '645')
('441', '877')
('441', '885')
('645', '877')
('878', '885')
('39', '41')
('39', '161')
('39', '259')
('39', '260')
('39', '887')
('41', '161')
('41', '259')
('41', '260')
('259', '260')
('39', '48')
('39', '798')
('39', '859')
('39', '889')
('48', '798')
('48', '859')
('39', '48')
('39', '101')
('39', '249')
('39', '255')
('39', '278')
('39', '441')
('39', '479')
('39', '495')
('39', '678')
('39', '809')
('39', '893')
('39', '896')
('39', '898')
('39', '899')
('39', '903')
('48', '101')
('48', '249')
('48', '255')
('48', '278')
('48', '441')
('48', '479')
('48', '495')
('48', '585')
('48', '809')
('48', '893')
('48', '896')
('48', '899')
('48', '904')
('101', '255')
('101', '441')
('101', '809')
('101', '898')
('249', '255')
('249', '278')
('249', '893')
('249', '899')
('255', '479')
('255', '495')
('255', '809')
('255', '893')
('255', '896')
('441', '809')
('809', '896')
('48', '65')
('48', '909')
('48', '910')
('65', '913')
('38', '39')
('38', '48')
('38', '170')
('38', '303')
('38', '915')
('39', '48')
('39', '170')
('39', '303')
('39', '494')
('39', '915')
('48', '170')
('48', '303')
('48', '494')
('48', '915')
('170', '915')
('31', '39')
('31', '41')
('39', '41')
('39', '93')
('39', '916')
('32', '38')
('32', '39')
('32', '41')
('32', '47')
('32', '348')
('32', '441')
('32', '924')
('32', '926')
('32', '927')
('38', '39')
('38', '41')
('38', '47')
('38', '209')
('38', '348')
('38', '390')
('38', '441')
('38', '645')
('38', '877')
('39', '41')
('39', '47')
('39', '191')
('39', '209')
('39', '348')
('39', '390')
('39', '422')
('39', '441')
('39', '547')
('39', '877')
('39', '924')
('39', '925')
('39', '926')
('39', '927')
('41', '47')
('41', '209')
('41', '348')
('41', '390')
('41', '422')
('41', '441')
('41', '547')
('41', '877')
('41', '926')
('41', '927')
('47', '441')
('390', '441')
('390', '877')
('441', '645')
('441', '877')
('645', '877')
('925', '927')
('32', '48')
('32', '270')
('32', '511')
('32', '750')
('48', '270')
('48', '511')
('48', '750')
('48', '930')
('32', '38')
('32', '39')
('32', '41')
('32', '170')
('32', '178')
('32', '511')
('32', '589')
('32', '940')
('38', '39')
('38', '41')
('38', '42')
('38', '170')
('38', '178')
('38', '272')
('38', '589')
('38', '940')
('38', '941')
('39', '41')
('39', '42')
('39', '170')
('39', '178')
('39', '213')
('39', '272')
('39', '511')
('39', '589')
('39', '935')
('39', '938')
('39', '939')
('39', '940')
('39', '941')
('41', '42')
('41', '170')
('41', '178')
('41', '272')
('41', '511')
('41', '589')
('41', '940')
('41', '941')
('170', '178')
('170', '511')
('170', '589')
('178', '511')
('213', '589')
('39', '48')
('39', '942')
('39', '944')
('39', '947')
('39', '948')
('48', '942')
('38', '39')
('38', '48')
('38', '286')
('38', '950')
('38', '952')
('39', '48')
('39', '286')
('39', '950')
('39', '952')
('48', '286')
('48', '952')
('39', '41')
('39', '349')
('39', '606')
('39', '665')
('39', '953')
('39', '956')
('39', '958')
('41', '349')
('41', '606')
('41', '956')
('41', '958')
('956', '958')
('10', '39')
('10', '48')
('39', '41')
('39', '48')
('39', '960')
('41', '48')
('41', '959')
('41', '960')
('48', '959')
('9', '48')
('48', '96')
('48', '107')
('48', '529')
('48', '549')
('48', '606')
('48', '789')
('48', '961')
('107', '549')
('549', '961')
('39', '269')
('39', '384')
('39', '966')
('39', '967')
('384', '966')
('32', '41')
('32', '117')
('32', '185')
('32', '232')
('32', '340')
('32', '503')
('32', '533')
('32', '927')
('32', '968')
('32', '976')
('32', '980')
('41', '117')
('41', '185')
('41', '248')
('41', '340')
('41', '503')
('41', '533')
('41', '927')
('41', '968')
('41', '969')
('41', '970')
('41', '973')
('41', '974')
('41', '976')
('41', '978')
('41', '979')
('41', '981')
('117', '340')
('117', '976')
('117', '978')
('117', '982')
('340', '974')
('340', '976')
('533', '969')
('976', '978')
('976', '982')
('978', '979')
('65', '612')
('65', '730')
('65', '913')
('65', '984')
('76', '558')
('76', '612')
('76', '916')
('136', '983')
('535', '986')
('612', '615')
('612', '730')
('612', '1004')
('730', '987')
('730', '1004')
('991', '1000')
('39', '389')
('39', '989')
('39', '1010')
('39', '41')
('39', '48')
('39', '715')
('39', '1011')
('39', '1012')
('39', '1013')
('39', '1014')
('39', '1015')
('41', '48')
('41', '715')
('41', '1011')
('41', '1012')
('41', '1013')
('41', '1014')
('48', '715')
('48', '1011')
('48', '1012')
('48', '1013')
('48', '1015')
('715', '755')
('1014', '1015')
('65', '101')
('65', '175')
('65', '176')
('65', '301')
('65', '1024')
('101', '176')
('101', '197')
('101', '1020')
('101', '1024')
('175', '176')
('175', '178')
('176', '178')
('176', '1024')
('282', '1024')
('39', '48')
('39', '237')
('39', '1027')
('48', '237')
('38', '110')
('38', '237')
('38', '249')
('38', '589')
('38', '604')
('38', '1028')
('107', '108')
('110', '237')
('237', '493')
('237', '589')
('237', '1029')
('237', '1043')
('589', '604')
('589', '1028')
('604', '1031')
('32', '1045')
('32', '1046')
('1045', '1046')
('39', '45')
('39', '48')
('39', '200')
('39', '259')
('39', '282')
('39', '359')
('39', '365')
('39', '396')
('39', '589')
('39', '593')
('39', '751')
('39', '1047')
('39', '1049')
('39', '1051')
('45', '48')
('48', '200')
('48', '259')
('48', '282')
('48', '359')
('48', '365')
('48', '396')
('48', '577')
('48', '589')
('48', '593')
('48', '751')
('48', '1047')
('48', '1049')
('48', '1051')
('259', '359')
('259', '396')
('359', '365')
('577', '589')
('589', '1051')
('32', '1054')
('39', '41')
('39', '48')
('39', '348')
('39', '352')
('39', '533')
